Produto,Preço (R$),Estoque,Fornecedor
Placa de Vídeo,4251.27,21,da Mata S.A.
Teclado,3731.34,35,Pacheco da Mota - ME
HD Externo,4415.56,44,da Costa Vasconcelos S/A
Impressora,4919.6,13,da Mota
Monitor,2304.15,20,Siqueira
Monitor,7537.74,20,Teixeira Novaes - EI
Impressora,5668.72,45,Machado
Placa de Vídeo,2604.62,23,Correia
Impressora,2373.54,37,Cunha Rezende - EI
SSD,7176.51,26,Barros S.A.
HD Externo,7641.41,10,Rezende Alves Ltda.
Impressora,432.33,46,Ferreira
Mouse,2836.27,29,Pinto - EI
Impressora,6003.97,14,Mendonça
Monitor,6640.82,18,Araújo Casa Grande S.A.
Impressora,1184.46,40,Pinto
Monitor,2015.42,43,Dias
Monitor,5139.76,4,da Mata
Mouse,3365.08,46,Jesus
Placa de Vídeo,894.3,50,Novaes
Teclado,140.93,36,Novaes
Teclado,3314.57,31,Cavalcante
Placa de Vídeo,5239.26,49,Vargas
Impressora,2637.22,42,Moura Pastor - EI
Notebook,7272.7,6,Almeida e Filhos
Monitor,4327.7,47,Vieira
Notebook,7314.51,12,Carvalho
SSD,7069.74,12,Abreu Ltda.
Notebook,7977.66,26,Moraes Borges Ltda.
Placa de Vídeo,1571.86,48,Camargo Rocha e Filhos
Impressora,7026.27,1,Santos
Impressora,4586.9,7,Alves
HD Externo,2348.04,42,Nascimento
Placa de Vídeo,7125.15,9,Brito - ME
Placa de Vídeo,2255.41,8,Aparecida
HD Externo,1383.7,30,Guerra
Impressora,5776.93,1,Martins Ferreira e Filhos
HD Externo,6347.06,37,Siqueira
Monitor,1486.41,41,da Mota
SSD,6633.22,33,Freitas - ME
HD Externo,785.23,43,Teixeira Abreu - EI
Mouse,1559.77,9,Vasconcelos - EI
Placa de Vídeo,2656.45,16,Sá Pastor S.A.
Notebook,2160.2,16,Gonçalves Teixeira e Filhos
Placa de Vídeo,6054.68,22,Câmara
Impressora,4701.44,37,Duarte
Notebook,2166.27,24,Abreu S.A.
Monitor,590.78,8,Souza
Placa de Vídeo,2523.77,26,Nogueira - ME
Impressora,5553.29,41,Ribeiro Montenegro S.A.
Impressora,3003.6,15,Novais Ltda.
Monitor,7663.15,31,Lopes - ME
Teclado,3694.33,39,Lopes Sousa e Filhos
HD Externo,3385.18,36,Moraes S.A.
Placa de Vídeo,6083.07,43,Pastor S/A
Monitor,6118.69,44,Borges
Mouse,4251.5,34,Andrade
HD Externo,717.01,37,Nunes
Mouse,587.89,36,Aparecida
Monitor,4624.34,10,Cunha
Teclado,2692.13,34,Sampaio
Placa de Vídeo,1018.3,14,Moreira Cavalcanti - ME
Placa de Vídeo,818.44,33,Fernandes Azevedo - EI
Placa de Vídeo,6488.67,30,da Paz S/A
Teclado,4154.66,30,Moraes da Mota S.A.
Notebook,4514.5,44,Guerra
Impressora,5813.91,26,Fonseca Cavalcanti e Filhos
Impressora,6549.98,48,Dias Azevedo S.A.
Monitor,4668.66,3,Pacheco - EI
SSD,2821.78,5,Peixoto
Notebook,7483.2,5,Casa Grande
Placa de Vídeo,350.71,27,da Mota
Teclado,6174.88,50,Dias
SSD,3058.24,25,Rocha - EI
Placa de Vídeo,6970.0,25,Rodrigues Garcia - ME
SSD,733.97,43,Barbosa Almeida e Filhos
Teclado,5262.92,23,Moraes
Mouse,1509.94,35,Novaes
SSD,4277.86,47,Ribeiro Sampaio - EI
Monitor,6695.09,49,Pires
Notebook,7830.08,30,Guerra S/A
SSD,4302.28,15,Sousa Vasconcelos S/A
Monitor,3738.94,10,Porto
Impressora,1589.0,47,Azevedo da Mata - ME
Mouse,354.52,43,Carvalho
SSD,4957.89,2,Oliveira Rios S/A
Monitor,1728.04,7,da Mota S/A
Notebook,3626.88,44,Oliveira - EI
Notebook,2033.4,3,Rodrigues - ME
SSD,3567.81,35,Siqueira das Neves S/A
Monitor,6059.65,50,Sampaio S/A
Notebook,1207.07,19,Gonçalves Santos - EI
Monitor,6544.71,47,Teixeira da Mota - ME
HD Externo,4662.05,50,Montenegro Teixeira S/A
HD Externo,1971.54,10,Sá
Monitor,3367.13,18,Rocha
Notebook,4498.07,38,Gomes
Teclado,5045.35,28,Moreira
Placa de Vídeo,470.38,23,da Cunha
SSD,6307.86,21,Freitas Oliveira S/A
SSD,3325.25,20,Mendes Araújo e Filhos
SSD,1552.64,35,Guerra
Placa de Vídeo,2003.65,15,Brito
Impressora,6874.58,10,Pires Andrade e Filhos
Placa de Vídeo,7326.46,36,Novaes S.A.
SSD,7745.51,36,Machado - EI
Teclado,3168.51,17,Melo Guerra - EI
Monitor,2709.08,6,Barbosa Barros Ltda.
Placa de Vídeo,6792.35,6,Fogaça
Monitor,507.14,25,Souza - EI
Notebook,7001.6,13,Freitas da Costa - EI
Monitor,3887.21,22,Lopes
Impressora,7660.46,1,Fonseca Ltda.
Monitor,7503.56,48,Lima
Mouse,6000.35,49,Pimenta
Placa de Vídeo,7324.09,45,Barbosa Lopes - ME
Monitor,3233.39,16,Moraes Azevedo S.A.
HD Externo,6226.56,25,Duarte Novaes - ME
Placa de Vídeo,4315.84,23,Fernandes
Impressora,2166.34,33,Cirino
Placa de Vídeo,3781.43,47,Melo S/A
Placa de Vídeo,6116.87,21,Rios Garcia S.A.
Monitor,3028.57,27,da Luz
Notebook,4543.95,15,Sousa Nunes Ltda.
Teclado,228.14,36,Casa Grande Ltda.
SSD,2432.02,13,Costa e Filhos
HD Externo,1917.15,37,Moraes
Monitor,4044.48,42,Costela
HD Externo,2132.88,32,Santos
Placa de Vídeo,3740.55,47,Barbosa
HD Externo,1437.2,47,Mendonça Rios S.A.
Placa de Vídeo,1553.98,35,Pastor Montenegro e Filhos
Notebook,4239.16,5,das Neves
Notebook,6138.28,27,Souza Rezende - ME
Teclado,6756.1,15,Gomes
Mouse,5686.64,1,Martins Barros Ltda.
Monitor,4095.29,24,Jesus
Notebook,4980.9,43,Aparecida Pastor e Filhos
Placa de Vídeo,5308.35,2,da Conceição
Notebook,4304.48,27,das Neves
Notebook,232.14,47,Ramos - ME
Impressora,4332.33,19,Barbosa
Notebook,4067.51,45,Duarte Viana e Filhos
SSD,6468.72,12,da Mata Pimenta e Filhos
Mouse,7352.59,34,Sousa
Teclado,2003.65,40,Pacheco S.A.
Impressora,6540.19,18,Garcia
SSD,724.25,26,Machado
Placa de Vídeo,4563.52,45,Pereira Nunes S.A.
Monitor,2469.8,6,Aparecida Garcia - ME
Notebook,838.65,25,Brito e Filhos
SSD,4466.34,4,Teixeira
Notebook,5652.48,6,das Neves
Placa de Vídeo,6778.11,42,Pacheco Cunha S/A
HD Externo,4570.27,7,Sales - EI
Notebook,1915.16,45,Vieira Cunha S/A
Placa de Vídeo,2241.65,5,Souza
Impressora,7204.56,37,Rezende
Notebook,1516.9,21,Sá Castro S.A.
Notebook,7695.61,38,das Neves Cavalcanti S.A.
Teclado,6042.81,46,Mendonça Machado S.A.
SSD,7438.11,20,Cavalcante S/A
Teclado,4555.27,37,Cirino
SSD,5448.58,35,Peixoto Costela S.A.
HD Externo,3132.39,48,Silveira
Teclado,6344.93,45,Nunes Moreira - ME
Mouse,4056.26,23,Aragão
Notebook,871.72,15,da Conceição S.A.
Mouse,2790.68,50,Cavalcante Ltda.
SSD,7754.47,21,Aragão Ferreira S.A.
Notebook,5109.57,29,Ribeiro
Placa de Vídeo,1902.29,36,Novais
SSD,3511.6,44,Mendonça
SSD,776.98,40,Mendonça Mendonça - ME
Impressora,6404.64,46,Martins
Mouse,748.1,10,Nunes - EI
SSD,5722.25,41,Santos
Teclado,5943.28,21,Cassiano
HD Externo,941.75,1,Cunha
Impressora,3613.41,49,Novaes S/A
Impressora,907.63,6,Viana
Teclado,3504.74,36,Freitas da Paz S/A
SSD,916.01,6,Monteiro
HD Externo,4478.34,39,Duarte
HD Externo,6923.37,1,Jesus
Impressora,3369.1,50,Mendonça
Mouse,5826.27,36,Machado Pinto Ltda.
Monitor,4618.49,11,Ferreira e Filhos
SSD,1439.06,18,Sá Moura S/A
Impressora,2220.41,10,Guerra
Mouse,1420.94,18,Caldeira Araújo - EI
SSD,2468.04,5,Freitas
HD Externo,2088.43,16,da Mota
Placa de Vídeo,4791.07,13,Guerra
Placa de Vídeo,945.08,20,das Neves
Notebook,7595.71,22,das Neves e Filhos
SSD,6452.2,22,Rodrigues
Placa de Vídeo,2744.42,42,da Mata
Teclado,2473.44,39,Farias e Filhos
Monitor,3884.18,12,Monteiro e Filhos
SSD,7752.93,19,Gomes
Placa de Vídeo,7745.33,16,Aparecida e Filhos
HD Externo,3070.84,26,da Cruz
HD Externo,999.71,37,Nascimento Ribeiro e Filhos
Monitor,4778.59,35,Pereira
Teclado,5485.53,36,Moreira
Notebook,7628.74,30,Mendes
Monitor,3563.79,19,Pereira
Mouse,6569.83,27,da Cruz
Placa de Vídeo,1199.52,20,Rios
Monitor,2096.19,10,Nunes
SSD,6333.71,5,Jesus - ME
Placa de Vídeo,7926.53,31,Mendonça
SSD,4321.5,45,Costa
SSD,4394.8,24,Porto
Mouse,964.02,16,Freitas
HD Externo,1414.07,40,Santos Ltda.
Notebook,4549.44,42,Guerra - EI
SSD,7737.81,22,da Rosa
SSD,936.96,7,Moreira S.A.
Impressora,1853.81,48,Moreira
Monitor,3621.65,26,Vargas - ME
Placa de Vídeo,6201.5,38,Fonseca
Teclado,2825.24,2,Camargo Camargo S.A.
Placa de Vídeo,925.94,27,Pinto
Mouse,1016.95,47,da Mota
Teclado,2851.8,22,Vieira - ME
Placa de Vídeo,6295.73,34,da Paz - ME
Placa de Vídeo,2851.57,7,Brito
Placa de Vídeo,5803.75,29,Rezende Mendonça S/A
HD Externo,630.68,3,Aragão Oliveira S/A
Mouse,278.42,22,Sales e Filhos
Mouse,5449.4,11,Albuquerque da Paz Ltda.
Monitor,4176.35,36,Novais S/A
Teclado,2714.82,28,Sousa Ltda.
Placa de Vídeo,1931.66,26,Sousa
Teclado,1572.46,43,Oliveira Ltda.
SSD,3225.1,48,Andrade
Monitor,3651.64,28,Albuquerque S.A.
SSD,135.16,14,Almeida
Monitor,2298.92,46,Melo
Mouse,4661.05,35,Azevedo - EI
Teclado,2989.76,13,Carvalho
Placa de Vídeo,1000.24,43,Rios Gomes Ltda.
Placa de Vídeo,4268.95,41,Moura da Cruz - EI
HD Externo,4816.07,40,Albuquerque Freitas - EI
SSD,4737.34,23,da Cruz
HD Externo,6779.59,40,Fernandes
Teclado,6528.53,46,Sá - ME
Impressora,7357.59,38,Vieira
Mouse,5409.67,21,Ferreira Carvalho Ltda.
Mouse,1984.72,8,Monteiro
Teclado,3049.12,10,Marques
SSD,3404.09,9,das Neves
SSD,3442.01,32,Pacheco S.A.
Teclado,4483.81,32,Monteiro
Impressora,1208.34,21,Aparecida Ribeiro - EI
Placa de Vídeo,4993.34,23,Siqueira Duarte - ME
Notebook,3928.41,13,da Conceição Ltda.
SSD,7714.25,33,Carvalho - EI
Placa de Vídeo,3332.16,32,Abreu Silva e Filhos
SSD,5710.12,29,Rodrigues
Placa de Vídeo,1421.3,37,Camargo - EI
Notebook,6387.46,15,Teixeira
Impressora,358.29,15,Caldeira S.A.
Impressora,1428.85,30,Andrade
Placa de Vídeo,4442.84,8,Gonçalves e Filhos
Mouse,2216.32,35,Pires Azevedo - ME
HD Externo,4382.14,49,Câmara
Notebook,6104.03,29,Montenegro
Monitor,7919.23,7,Barros e Filhos
Monitor,2451.9,3,Novais
Placa de Vídeo,2176.24,6,Oliveira Pires S.A.
Placa de Vídeo,6935.79,8,Barros
Monitor,1758.04,48,Silva Azevedo - EI
HD Externo,6902.28,40,Almeida
SSD,1411.25,9,Siqueira S/A
Monitor,6526.89,4,Borges Lopes - EI
HD Externo,4305.02,39,Lima
Teclado,2656.86,46,Siqueira
Impressora,2385.73,18,Sousa Ltda.
Mouse,1171.15,49,Oliveira S.A.
SSD,7358.27,18,Caldeira
Teclado,5641.27,9,Vargas
Monitor,1255.32,21,Rezende
Monitor,6115.64,44,Campos
SSD,3966.72,37,Peixoto
Impressora,5059.72,25,das Neves
Placa de Vídeo,696.58,50,Barros e Filhos
Mouse,3282.52,48,Cavalcanti
Impressora,5588.16,24,Caldeira
Placa de Vídeo,7607.01,21,Azevedo Borges - ME
Notebook,6964.37,47,Mendonça S.A.
Mouse,5874.36,30,Aparecida Cavalcanti - ME
HD Externo,6815.84,35,Costela Cunha e Filhos
SSD,1820.86,28,Silva e Filhos
Monitor,4008.25,21,Costela Marques - EI
Impressora,2768.27,37,Santos
Teclado,4572.52,32,Freitas
HD Externo,7163.82,49,Castro S/A
Notebook,462.95,41,Garcia Machado S/A
Placa de Vídeo,228.62,11,Leão
Placa de Vídeo,3706.49,28,Ribeiro S.A.
Monitor,7965.98,9,Melo
Impressora,1355.92,18,Santos
Mouse,5271.24,17,Novais
Mouse,3037.57,42,Aragão - EI
Teclado,509.12,41,Pinto S/A
Impressora,5835.31,49,Mendes Ltda.
Monitor,3490.92,6,Siqueira Borges - ME
Mouse,108.58,31,Pimenta - EI
Mouse,1148.33,15,Ramos
Placa de Vídeo,173.37,45,Casa Grande - EI
HD Externo,6555.16,28,Brito S/A
Teclado,3873.83,15,Leão
SSD,805.72,7,Cunha Vieira - EI
Mouse,2575.48,20,Mendonça - ME
Teclado,3123.5,49,da Mota
Teclado,5168.45,44,Rocha
Teclado,640.45,37,Costela
Notebook,4921.52,11,Albuquerque - ME
Placa de Vídeo,2874.38,14,Brito
Teclado,7367.16,40,Guerra Jesus S/A
Placa de Vídeo,6893.7,6,Silveira Vargas S/A
Mouse,1206.1,8,Pinto Caldeira S/A
